Entity Type,ID,Name/Details,Additional Info
role,ftr09784,LysR family transcriptional regulator YcjZ,ModelSEED
role,ftr09786,LysR family transcriptional regulator YfeR,ModelSEED
role,ftr09787,LysR family transcriptional regulator YfiE,ModelSEED
role,ftr06365,"Adenylate cyclase, type IV (EC 4.6.1.1)",ModelSEED
role,ftr14295,"T4-like phage protein, T4 GC1149",ModelSEED
role,ftr06363,putative NOL1-NOP2-sun family nucleolar protein,ModelSEED
role,ftr14878,NarL/NarP binding site 3 at hyb operon,ModelSEED
role,ftr14879,NarL/NarP binding site 1 at hya operon,ModelSEED
role,ftr14870,ModE protected fragment upstream of narXL,ModelSEED
role,ftr14871,putative ModE binding site upstream of narXL,ModelSEED
role,ftr14872,promoter at hya operon,ModelSEED
role,ftr06360,Vimentin,ModelSEED
role,ftr14874,ArcA binding site upstream of hyb operon,ModelSEED
role,ftr14875,NarL/NarP binding site 1 at hyb operon,ModelSEED
role,ftr14876,NarL/NarP binding site 2 at hyb operon,ModelSEED
role,ftr16372,gadA promoter,ModelSEED
role,ftr14293,"Phage T4-like protein, T4 GC0049",ModelSEED
role,ftr05644,Probable sulfate exporter tauZ,ModelSEED
role,ftr05131,Putative alkylsulfatase (EC 1.14.11.17),ModelSEED
role,ftr15743,N-acetylmuramic acid 6-phosphate etherase,ModelSEED
role,ftr08785,Putative uncharacterized protein STY4523 (Putative uncharacterized protein),ModelSEED
role,ftr16374,psiE promoter,ModelSEED
role,ftr00202,AreB (Aryl-alcohol dehydrogenase) (EC 1.1.1.90),ModelSEED
role,ftr00201,AreA (Esterase for aryl ester catabolic pathway) (EC 3.1.1.-),ModelSEED
role,ftr00204,"regulator protein,AreR",ModelSEED
role,ftr08438,ATP-dependent protease La (EC 3.4.21.53),ModelSEED
role,ftr08437,"Nucleotide excision repair protein, with UvrB/UvrC motif",ModelSEED
role,ftr16376,yiaKLMNOPQRS promoter,ModelSEED
role,ftr14873,ArcA binding site upstream of hya operon,ModelSEED
role,ftr15599,Outer membrane protein N,ModelSEED
role,ftr15039,H-NS protected region 1 at clyA gene,ModelSEED
role,ftr11297,Sensor histidine kinase VraS,ModelSEED
role,ftr11292,Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1),ModelSEED
role,ftr11290,"ABC transporter (iron.B12.siderophore.hemin) , permease component",ModelSEED
role,ftr14877,NagC protected region (boxM) at manXYZ operon,ModelSEED
role,ftr11298,Two component transcriptional regulator VraR,ModelSEED
role,ftr12093,tail tube,ModelSEED
role,ftr07968,hydrogenase (cytochrome-c3 hydrogenase beta chain),ModelSEED
role,ftr07966,"Ni,Fe-hydrogenase III small subunit",ModelSEED
role,ftr07967,cytochrome-c3 hydrogenase alpha chain,ModelSEED
role,ftr07964,Probable Ni/Fe-hydrogenase 2 B-type cytochrome subunit,ModelSEED
role,ftr07965,"Ni,Fe-hydrogenase III large subunit",ModelSEED
